department,classification,cited_name,nationality,gender,number of pieces
Contemporary Art,prints,"Tyson, Ian",Britain,Male,8
Contemporary Art,prints,"Ubac, Raoul",Belgium,Male,3
Contemporary Art,prints,Uchima Ansei,America,Male,5
Contemporary Art,prints,unknown,America,n/a,1
Contemporary Art,prints,Unno Mitsuhiro,Japan,Male,1
Contemporary Art,prints,"Uzzell, Glyn",Britain,Male,1
Contemporary Art,prints,"Vicente, Esteban",America,Male,1
Contemporary Art,prints,"Walker, John",Britain,Female,1
Contemporary Art,prints,"Walker, Kara",America,Female,26
Contemporary Art,prints,Watanabe Sadao,Japan,Male,3
Contemporary Art,prints,"Waters, Herbert",America,Male,1
Contemporary Art,prints,"Weber, Albert J.",America,Male,1
Contemporary Art,prints,"Weidenaar, Reynold H.",America,Male,1
Contemporary Art,prints,"Weiner, Lawrence",America,Male,1
Contemporary Art,prints,"Wemaëre, Pierre",France,Male,1
Contemporary Art,prints,"Wengenroth, Stow",America,Male,1
Contemporary Art,prints,"Wesselmann, Tom",America,Male,1
Contemporary Art,prints,"West, Franz",Austria,Male,1
Contemporary Art,prints,"Wheeler, Steve",America,Male,1
Contemporary Art,prints,"White, Charles F.",America,Male,1
Contemporary Art,prints,"Whiteley, Elizabeth",America,Female,1
Contemporary Art,prints,"Whitman, Robert",America,Male,1
Contemporary Art,prints,"Willats, Stephen",Britain,Male,1
Contemporary Art,prints,"Williams, Emmett",America,Male,1
Contemporary Art,prints,"Wilmarth, Christopher",America,Male,8
Contemporary Art,prints,"Wool, Christopher",America,Male,22
Contemporary Art,prints,"Wotruba, Fritz",Austria,Male,14
Contemporary Art,prints,"Wujcik, Theo",America,Male,2
Contemporary Art,prints,Yamaguchi Gen,Japan,Male,5
Contemporary Art,prints,Yamaguchi Susumu,Japan,Male,6
Contemporary Art,prints,Yamamoto Kanae,Japan,Male,1
Contemporary Art,prints,Yang Fudong,China,Male,1
Contemporary Art,prints,Yoshida Chizuko,Japan,Female,2
Contemporary Art,prints,Yoshida Fujio,Japan,Female,2
Contemporary Art,prints,Yoshida Hodaka,Japan,Male,6
Contemporary Art,prints,Yoshida Tôshi,Japan,Male,8
Contemporary Art,prints,Yuki Rei,Japan,Male,1
Contemporary Art,prints,"Zachrisson, Julio",Panama,Male,1
Contemporary Art,prints,"Zeid, Fahrelnissa",Turkey,Female,2
Contemporary Art,prints,"Ziemann, Richard C.",America,Female,9
Contemporary Art,prints,"Zittel, Andrea",America,Male,1
Contemporary Art,prints,"Zox, Larry",America,Male,1
Contemporary Art,prints,"Zunigo, Francisco",undetermined,Male,1
